"id","scheme","scheme_type","value","year","estimate_type"
0,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",90806.0,"2022-2023","Actual"
1,"National Social Assistance Program","Core of the Core Schemes",9651.0,"2022-2023","Actual"
2,"Umbrella Programme for Development of Minorities","Core of the Core Schemes",223.0,"2022-2023","Actual"
3,"Umbrella Programme for Development of Other Vulnerable Groups","Core of the Core Schemes",1572.0,"2022-2023","Actual"
4,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",3825.0,"2022-2023","Actual"
5,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",5158.0,"2022-2023","Actual"
6,"Pradhan Mantri Awas Yojna (PMAY)","Core Schemes",73615.0,"2022-2023","Actual"
7,"Jal Jeevan Mission (JJM)/National Rural Drinking Water Mission","Core Schemes",54700.0,"2022-2023","Actual"
8,"National Health Mission","Core Schemes",33803.0,"2022-2023","Actual"
9,"Samagra Shiksha","Core Schemes",32515.0,"2022-2023","Actual"
10,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls)","Core Schemes",19876.0,"2022-2023","Actual"
11,"Pradhan Mantri Gram Sadak Yojna","Core Schemes",18783.0,"2022-2023","Actual"
12,"National Livelihood Mission - Ajeevika","Core Schemes",12083.0,"2022-2023","Actual"
13,"Pradhan Mantri Poshan Shakti Nirman (PM POSHAN)","Core Schemes",12681.0,"2022-2023","Actual"
14,"Pradhan Mantri Krishi Sinchai Yojna","Core Schemes",6380.0,"2022-2023","Actual"
15,"Urban Rejuvenation Mission: AMRUT and Smart Cities Mission","Core Schemes",15153.0,"2022-2023","Actual"
16,"Rashtriya Krishi Vikas Yojna","Core Schemes",5247.0,"2022-2023","Actual"
17,"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojna (PMJAY)","Core Schemes",6186.0,"2022-2023","Actual"
18,"Krishionnati Yojana","Core Schemes",4716.0,"2022-2023","Actual"
19,"Swachh Bharat Mission (Gramin)","Core Schemes",4925.0,"2022-2023","Actual"
20,"Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA","Core Schemes",8572.0,"2022-2023","Actual"
21,"PM Schools for Rising India (PM SHRI)","Core Schemes","","2022-2023","Actual"
22,"Swachh Bharat Mission","Core Schemes",1926.0,"2022-2023","Actual"
23,"Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM)","Core Schemes",1228.0,"2022-2023","Actual"
24,"Modernisation of Police Forces","Core Schemes",2896.0,"2022-2023","Actual"
25,"Interlinking of Rivers","Core Schemes",624.0,"2022-2023","Actual"
26,"Mission Shakti (Mission for Protection and Empowerment for Women)","Core Schemes",2340.0,"2022-2023","Actual"
27,"Blue Revolution","Core Schemes",1180.0,"2022-2023","Actual"
28,"Pradhan Mantri Uchchatar Shiksha Abhiyan (PM-USHA)","Core Schemes","","2022-2023","Actual"
29,"Mission VATSALYA (Child Protection Services and Child Welfare Services)","Core Schemes",1043.0,"2022-2023","Actual"
30,"Strengthening Teaching-Learning and Results for States (STARS)","Core Schemes",473.0,"2022-2023","Actual"
31,"Rashtriya Gram Swaraj Abhiyan (RGSA)","Core Schemes",762.0,"2022-2023","Actual"
32,"Vibrant Villages Programme","Core Schemes","","2022-2023","Actual"
33,"Infrastructure Facilities for Judiciary","Core Schemes",858.0,"2022-2023","Actual"
34,"Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME)","Core Schemes",275.0,"2022-2023","Actual"
35,"Environment, Forestry and Wildlife","Core Schemes",485.0,"2022-2023","Actual"
36,"National River Conservation Plan - Other Basins","Core Schemes",443.0,"2022-2023","Actual"
37,"Crop Insurance Scheme","Major Central Sector Schemes",10296.0,"2022-2023","Actual"
38,"Pradhan Mantri Kisan Samman Nidhi (PM-Kisan)","Major Central Sector Schemes",58254.0,"2022-2023","Actual"
39,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)","Major Central Sector Schemes",124.0,"2022-2023","Actual"
40,"Modified Interest Subvention Scheme (MISS)","Major Central Sector Schemes",17998.0,"2022-2023","Actual"
41,"Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA)","Major Central Sector Schemes","","2022-2023","Actual"
42,"Agriculture Infrastructure Fund (AIF)","Major Central Sector Schemes",147.0,"2022-2023","Actual"
43,"Crop Science for Food and Nutritional Security","Major Central Sector Schemes","","2022-2023","Actual"
44,"Research and Development Projects","Major Central Sector Schemes",1836.0,"2022-2023","Actual"
45,"Nuclear Power Projects","Major Central Sector Schemes",1430.0,"2022-2023","Actual"
46,"Feedstock","Major Central Sector Schemes",1269.0,"2022-2023","Actual"
47,"R&D projects of Bhabha Atomic Research Centre (BARC)","Major Central Sector Schemes",1132.0,"2022-2023","Actual"
48,"Fuel Recycle Projects (NRB)","Major Central Sector Schemes",716.0,"2022-2023","Actual"
49,"Nuclear Fuel Fabrication Projects","Major Central Sector Schemes",801.0,"2022-2023","Actual"
50,"Urea Subsidy","Major Central Sector Schemes",165217.0,"2022-2023","Actual"
51,"Nutrient Based Subsidy","Major Central Sector Schemes",86122.0,"2022-2023","Actual"
52,"Development of Industry (Pharmaceutical)","Major Central Sector Schemes",1.0,"2022-2023","Actual"
53,"Production Linked Incentive Scheme (Pharmaceutical)","Major Central Sector Schemes",1425.0,"2022-2023","Actual"
54,"Regional Connectivity Scheme","Major Central Sector Schemes",1064.0,"2022-2023","Actual"
55,"Interest Equalisation Scheme","Major Central Sector Schemes",3118.0,"2022-2023","Actual"
56,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017","Major Central Sector Schemes","","2022-2023","Actual"
57,"Fund of Funds","Major Central Sector Schemes",1425.0,"2022-2023","Actual"
58,"Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","Major Central Sector Schemes",2638.0,"2022-2023","Actual"
59,"Compensation to Service Providers for creation and augmentation of telecom infrastructure","Major Central Sector Schemes",53500.0,"2022-2023","Actual"
60,"Domestic Industry Incentivisation Scheme","Major Central Sector Schemes","","2022-2023","Actual"
61,"Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY)","Major Central Sector Schemes","","2022-2023","Actual"
62,"Works under Border Roads Development Board","Major Central Sector Schemes",4510.0,"2022-2023","Actual"
63,"Other works","Major Central Sector Schemes",991.0,"2022-2023","Actual"
64,"Projects of the Air Force","Major Central Sector Schemes",146.0,"2022-2023","Actual"
65,"Investment in Public Enterprises","Major Central Sector Schemes",1310.0,"2022-2023","Actual"
66,"Research and Development","Major Central Sector Schemes",11498.0,"2022-2023","Actual"
67,"Land","Major Central Sector Schemes","","2022-2023","Actual"
68,"Aircraft and Aero Engines","Major Central Sector Schemes","","2022-2023","Actual"
69,"Heavy and Medium Vehicles","Major Central Sector Schemes","","2022-2023","Actual"
70,"Other Equipments","Major Central Sector Schemes","","2022-2023","Actual"
71,"Joint Staff","Major Central Sector Schemes","","2022-2023","Actual"
72,"Construction Works","Major Central Sector Schemes","","2022-2023","Actual"
73,"Naval Fleet","Major Central Sector Schemes","","2022-2023","Actual"
74,"Naval Dockyard/ Projects","Major Central Sector Schemes","","2022-2023","Actual"
75,"Special Projects","Major Central Sector Schemes","","2022-2023","Actual"
76,"Schemes of North East Council","Major Central Sector Schemes",370.0,"2022-2023","Actual"
77,"Prime Minister's Development Initiative for North East Region (PM-DevINE)","Major Central Sector Schemes",121.0,"2022-2023","Actual"
78,"North East Special Infrastructure Development Scheme (NESIDS)","Major Central Sector Schemes",458.0,"2022-2023","Actual"
79,"Deep Ocean Mission (DOM)","Major Central Sector Schemes",56.0,"2022-2023","Actual"
80,"PM Uchchatar Shiksha Protsahan (PM-USP) Yojna","Major Central Sector Schemes","","2022-2023","Actual"
81,"National Apprenticeship Training Scheme (NATS)","Major Central Sector Schemes","","2022-2023","Actual"
82,"World Class Institutions","Major Central Sector Schemes",977.0,"2022-2023","Actual"
83,"Capacity Building and Skill Development Scheme","Major Central Sector Schemes","","2022-2023","Actual"
84,"Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India","Major Central Sector Schemes",13.0,"2022-2023","Actual"
85,"Production Linked Incentive Scheme (PLI), (MEITY)","Major Central Sector Schemes","","2022-2023","Actual"
86,"Cyber Security Projects","Major Central Sector Schemes",30.0,"2022-2023","Actual"
87,"Electronic Governance","Major Central Sector Schemes",216.0,"2022-2023","Actual"
88,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)","Major Central Sector Schemes",634.0,"2022-2023","Actual"
89,"R and D in IT/Electronics/CCBT","Major Central Sector Schemes",275.0,"2022-2023","Actual"
90,"Control of Pollution","Major Central Sector Schemes",600.0,"2022-2023","Actual"
91,"Scheme for Bhutan","Major Central Sector Schemes",2467.0,"2022-2023","Actual"
92,"Scheme for Nepal","Major Central Sector Schemes",434.0,"2022-2023","Actual"
93,"Maldives","Major Central Sector Schemes",183.0,"2022-2023","Actual"
94,"Support to International Training/Programmes","Major Central Sector Schemes",480.0,"2022-2023","Actual"
95,"National Investment and Infrastructure Fund (NIIF)","Major Central Sector Schemes",1683.0,"2022-2023","Actual"
96,"Lines of Credit under Indian Development and Economic Assistance Scheme (IDEAS)","Major Central Sector Schemes",1459.0,"2022-2023","Actual"
97,"Government Co-contribution to Atal Pension Yojana","Major Central Sector Schemes",725.0,"2022-2023","Actual"
98,"Incentive scheme for promotion of RuPay Debit Cards and low-value BHIM-UPI transactions (person-to- merchant)","Major Central Sector Schemes","","2022-2023","Actual"
99,"Remission of Duties and Taxes on Exported Products (RODTEP)","Major Central Sector Schemes",13175.0,"2022-2023","Actual"
100,"Rebate on State and Central Taxes and Levies (ROSCTL)","Major Central Sector Schemes",7659.0,"2022-2023","Actual"
101,"Livestock Health and Disease Control Programme","Major Central Sector Schemes",805.0,"2022-2023","Actual"
102,"Rashtriya Gokul Mission","Major Central Sector Schemes","","2022-2023","Actual"
103,"Production-Linked Incentive Scheme for Food Processing Industry","Major Central Sector Schemes",490.0,"2022-2023","Actual"
104,"Pradhan Mantri Kisan Sampada Yojana","Major Central Sector Schemes",562.0,"2022-2023","Actual"
105,"National AIDS and STD Control Programme","Major Central Sector Schemes",2143.0,"2022-2023","Actual"
106,"Family Welfare Schemes","Major Central Sector Schemes",445.0,"2022-2023","Actual"
107,"Pardhan Mantri Swasthya Suraksha Yojana","Major Central Sector Schemes",7518.0,"2022-2023","Actual"
108,"Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components","Major Central Sector Schemes",6.0,"2022-2023","Actual"
109,"Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).","Major Central Sector Schemes",2403.0,"2022-2023","Actual"
110,"Relief and Rehabilitation for migrants and repatriates","Major Central Sector Schemes",413.0,"2022-2023","Actual"
111,"Freedom Fighters (pension and other benefits)","Major Central Sector Schemes",603.0,"2022-2023","Actual"
112,"Border Infrastructure and Management","Major Central Sector Schemes",3416.0,"2022-2023","Actual"
113,"Police Infrastructure","Major Central Sector Schemes",2136.0,"2022-2023","Actual"
114,"Schemes for Safety of Women","Major Central Sector Schemes",119.0,"2022-2023","Actual"
115,"Metro Projects","Major Central Sector Schemes",18831.0,"2022-2023","Actual"
116,"National Capital Region Transport Corporation","Major Central Sector Schemes",4710.0,"2022-2023","Actual"
117,"National Hydrology Project","Major Central Sector Schemes",481.0,"2022-2023","Actual"
118,"Atal Bhujal Yojna","Major Central Sector Schemes",1155.0,"2022-2023","Actual"
119,"National Ganga Plan","Major Central Sector Schemes",2048.0,"2022-2023","Actual"
120,"Employees Pension Scheme, 1995","Major Central Sector Schemes",8785.0,"2022-2023","Actual"
121,"e-Courts Phase III","Major Central Sector Schemes","","2022-2023","Actual"
122,"Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers","Major Central Sector Schemes",10500.0,"2022-2023","Actual"
123,"Fund of Funds","Major Central Sector Schemes",393.0,"2022-2023","Actual"
124,"Raising and Accelerating MSME Performance - RAMP","Major Central Sector Schemes",269.0,"2022-2023","Actual"
125,"Khadi Gramodyog Vikas Yojana","Major Central Sector Schemes","","2022-2023","Actual"
126,"Prime Minister Employment Generation Programme (PMEGP)","Major Central Sector Schemes",2733.0,"2022-2023","Actual"
127,"PM Vishwakarma","Major Central Sector Schemes","","2022-2023","Actual"
128,"Education Empowerment","Major Central Sector Schemes",257.0,"2022-2023","Actual"
129,"Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM)","Major Central Sector Schemes",1325.0,"2022-2023","Actual"
130,"Solar Power (Grid)","Major Central Sector Schemes",4280.0,"2022-2023","Actual"
131,"Wind Power (Grid)","Major Central Sector Schemes",1413.0,"2022-2023","Actual"
132,"National Green Hydrogen Mission","Major Central Sector Schemes",0.0,"2022-2023","Actual"
133,"Green Energy Corridors","Major Central Sector Schemes",250.0,"2022-2023","Actual"
134,"Capital Support to Oil Marketing Companies","Major Central Sector Schemes","","2022-2023","Actual"
135,"Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid","Major Central Sector Schemes",1529.0,"2022-2023","Actual"
136,"Direct Benefit Transfer - LPG","Major Central Sector Schemes",180.0,"2022-2023","Actual"
137,"LPG Connection to Poor Households","Major Central Sector Schemes",5663.0,"2022-2023","Actual"
138,"Other subsidy payable including for North Eastern Region","Major Central Sector Schemes",811.0,"2022-2023","Actual"
139,"Sagarmala","Major Central Sector Schemes",512.0,"2022-2023","Actual"
140,"Reform Linked Distribution Scheme","Major Central Sector Schemes",2738.0,"2022-2023","Actual"
141,"Strengthening of Power Systems","Major Central Sector Schemes",2543.0,"2022-2023","Actual"
142,"Power System Development Fund","Major Central Sector Schemes",778.0,"2022-2023","Actual"
143,"New Lines","Major Central Sector Schemes",24377.0,"2022-2023","Actual"
144,"Gauge Conversion","Major Central Sector Schemes",2582.0,"2022-2023","Actual"
145,"Doubling","Major Central Sector Schemes",25621.0,"2022-2023","Actual"
146,"Traffic Facilities - Yard Remodelling and Others","Major Central Sector Schemes",2258.0,"2022-2023","Actual"
147,"Computerisation","Major Central Sector Schemes",398.0,"2022-2023","Actual"
148,"Rolling Stock","Major Central Sector Schemes",19035.0,"2022-2023","Actual"
149,"Leased assets - Payment of Capital Component","Major Central Sector Schemes",17456.0,"2022-2023","Actual"
150,"Road Safety Works - Level Crossings","Major Central Sector Schemes",520.0,"2022-2023","Actual"
151,"Road Safety Works - Road Over/Under Bridges","Major Central Sector Schemes",4827.0,"2022-2023","Actual"
152,"Track Renewals","Major Central Sector Schemes",16326.0,"2022-2023","Actual"
153,"Bridge Works, Turnnel Works and Approaches","Major Central Sector Schemes",1050.0,"2022-2023","Actual"
154,"Signalling and Telecom","Major Central Sector Schemes",2456.0,"2022-2023","Actual"
155,"Electrification Projects","Major Central Sector Schemes",340.0,"2022-2023","Actual"
156,"Other Electrical Works","Major Central Sector Schemes",735.0,"2022-2023","Actual"
157,"Machinery and Plant","Major Central Sector Schemes",529.0,"2022-2023","Actual"
158,"Workshop Including Production Units","Major Central Sector Schemes",2481.0,"2022-2023","Actual"
159,"Staff Welfare","Major Central Sector Schemes",421.0,"2022-2023","Actual"
160,"Customer Amenities","Major Central Sector Schemes",2159.0,"2022-2023","Actual"
161,"Investment in PSU/JV/SPV etc.","Major Central Sector Schemes",27533.0,"2022-2023","Actual"
162,"Other Specified Works (Railways)","Major Central Sector Schemes",556.0,"2022-2023","Actual"
163,"Metropolitan Transportation Projects","Major Central Sector Schemes",2802.0,"2022-2023","Actual"
164,"Road Works","Major Central Sector Schemes",75821.0,"2022-2023","Actual"
165,"National Highways Authority of India","Major Central Sector Schemes",141661.0,"2022-2023","Actual"
166,"National Mission on Interdisciplinary Cyber Physical Systems","Major Central Sector Schemes",299.0,"2022-2023","Actual"
167,"Science and Technology Institutional and Human Capacity Building","Major Central Sector Schemes",770.0,"2022-2023","Actual"
168,"Innovation, Technology Development and Deployment","Major Central Sector Schemes",476.0,"2022-2023","Actual"
169,"Biotechnology Research and Development","Major Central Sector Schemes",969.0,"2022-2023","Actual"
170,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",60000.0,"2023-2024","Budget"
171,"National Social Assistance Program","Core of the Core Schemes",9636.0,"2023-2024","Budget"
172,"Umbrella Programme for Development of Minorities","Core of the Core Schemes",610.0,"2023-2024","Budget"
173,"Umbrella Programme for Development of Other Vulnerable Groups","Core of the Core Schemes",2194.0,"2023-2024","Budget"
174,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",4295.0,"2023-2024","Budget"
175,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",9409.0,"2023-2024","Budget"
176,"Pradhan Mantri Awas Yojna (PMAY)","Core Schemes",79590.0,"2023-2024","Budget"
177,"Jal Jeevan Mission (JJM)/National Rural Drinking Water Mission","Core Schemes",70000.0,"2023-2024","Budget"
178,"National Health Mission","Core Schemes",36785.0,"2023-2024","Budget"
179,"Samagra Shiksha","Core Schemes",37453.0,"2023-2024","Budget"
180,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls)","Core Schemes",20554.0,"2023-2024","Budget"
181,"Pradhan Mantri Gram Sadak Yojna","Core Schemes",19000.0,"2023-2024","Budget"
182,"National Livelihood Mission - Ajeevika","Core Schemes",14129.0,"2023-2024","Budget"
183,"Pradhan Mantri Poshan Shakti Nirman (PM POSHAN)","Core Schemes",11600.0,"2023-2024","Budget"
184,"Pradhan Mantri Krishi Sinchai Yojna","Core Schemes",10787.0,"2023-2024","Budget"
185,"Urban Rejuvenation Mission: AMRUT and Smart Cities Mission","Core Schemes",16000.0,"2023-2024","Budget"
186,"Rashtriya Krishi Vikas Yojna","Core Schemes",7150.0,"2023-2024","Budget"
187,"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojna (PMJAY)","Core Schemes",7200.0,"2023-2024","Budget"
188,"Krishionnati Yojana","Core Schemes",7066.0,"2023-2024","Budget"
189,"Swachh Bharat Mission (Gramin)","Core Schemes",7192.0,"2023-2024","Budget"
190,"Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA","Core Schemes",7425.0,"2023-2024","Budget"
191,"PM Schools for Rising India (PM SHRI)","Core Schemes",4000.0,"2023-2024","Budget"
192,"Swachh Bharat Mission","Core Schemes",5000.0,"2023-2024","Budget"
193,"Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM)","Core Schemes",4200.0,"2023-2024","Budget"
194,"Modernisation of Police Forces","Core Schemes",3750.0,"2023-2024","Budget"
195,"Interlinking of Rivers","Core Schemes",3500.0,"2023-2024","Budget"
196,"Mission Shakti (Mission for Protection and Empowerment for Women)","Core Schemes",3144.0,"2023-2024","Budget"
197,"Blue Revolution","Core Schemes",2025.0,"2023-2024","Budget"
198,"Pradhan Mantri Uchchatar Shiksha Abhiyan (PM-USHA)","Core Schemes","","2023-2024","Budget"
199,"Mission VATSALYA (Child Protection Services and Child Welfare Services)","Core Schemes",1472.0,"2023-2024","Budget"
200,"Strengthening Teaching-Learning and Results for States (STARS)","Core Schemes",800.0,"2023-2024","Budget"
201,"Rashtriya Gram Swaraj Abhiyan (RGSA)","Core Schemes",895.0,"2023-2024","Budget"
202,"Vibrant Villages Programme","Core Schemes","","2023-2024","Budget"
203,"Infrastructure Facilities for Judiciary","Core Schemes",1061.0,"2023-2024","Budget"
204,"Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME)","Core Schemes",639.0,"2023-2024","Budget"
205,"Environment, Forestry and Wildlife","Core Schemes",759.0,"2023-2024","Budget"
206,"National River Conservation Plan - Other Basins","Core Schemes",300.0,"2023-2024","Budget"
207,"Crop Insurance Scheme","Major Central Sector Schemes",13625.0,"2023-2024","Budget"
208,"Pradhan Mantri Kisan Samman Nidhi (PM-Kisan)","Major Central Sector Schemes",60000.0,"2023-2024","Budget"
209,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)","Major Central Sector Schemes",955.0,"2023-2024","Budget"
210,"Modified Interest Subvention Scheme (MISS)","Major Central Sector Schemes",23000.0,"2023-2024","Budget"
211,"Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA)","Major Central Sector Schemes",0.0,"2023-2024","Budget"
212,"Agriculture Infrastructure Fund (AIF)","Major Central Sector Schemes",500.0,"2023-2024","Budget"
213,"Crop Science for Food and Nutritional Security","Major Central Sector Schemes","","2023-2024","Budget"
214,"Research and Development Projects","Major Central Sector Schemes",840.0,"2023-2024","Budget"
215,"Nuclear Power Projects","Major Central Sector Schemes",442.0,"2023-2024","Budget"
216,"Feedstock","Major Central Sector Schemes",1599.0,"2023-2024","Budget"
217,"R&D projects of Bhabha Atomic Research Centre (BARC)","Major Central Sector Schemes",1013.0,"2023-2024","Budget"
218,"Fuel Recycle Projects (NRB)","Major Central Sector Schemes",805.0,"2023-2024","Budget"
219,"Nuclear Fuel Fabrication Projects","Major Central Sector Schemes",764.0,"2023-2024","Budget"
220,"Urea Subsidy","Major Central Sector Schemes",131100.0,"2023-2024","Budget"
221,"Nutrient Based Subsidy","Major Central Sector Schemes",44000.0,"2023-2024","Budget"
222,"Development of Industry (Pharmaceutical)","Major Central Sector Schemes",1250.0,"2023-2024","Budget"
223,"Production Linked Incentive Scheme (Pharmaceutical)","Major Central Sector Schemes",1200.0,"2023-2024","Budget"
224,"Regional Connectivity Scheme","Major Central Sector Schemes",1244.0,"2023-2024","Budget"
225,"Interest Equalisation Scheme","Major Central Sector Schemes",2932.0,"2023-2024","Budget"
226,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017","Major Central Sector Schemes",250.0,"2023-2024","Budget"
227,"Fund of Funds","Major Central Sector Schemes",1470.0,"2023-2024","Budget"
228,"Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","Major Central Sector Schemes",1714.0,"2023-2024","Budget"
229,"Compensation to Service Providers for creation and augmentation of telecom infrastructure","Major Central Sector Schemes",10400.0,"2023-2024","Budget"
230,"Domestic Industry Incentivisation Scheme","Major Central Sector Schemes",915.0,"2023-2024","Budget"
231,"Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY)","Major Central Sector Schemes","","2023-2024","Budget"
232,"Works under Border Roads Development Board","Major Central Sector Schemes",5000.0,"2023-2024","Budget"
233,"Other works","Major Central Sector Schemes",950.0,"2023-2024","Budget"
234,"Projects of the Air Force","Major Central Sector Schemes",1132.0,"2023-2024","Budget"
235,"Investment in Public Enterprises","Major Central Sector Schemes",1310.0,"2023-2024","Budget"
236,"Research and Development","Major Central Sector Schemes",12850.0,"2023-2024","Budget"
237,"Land","Major Central Sector Schemes","","2023-2024","Budget"
238,"Aircraft and Aero Engines","Major Central Sector Schemes","","2023-2024","Budget"
239,"Heavy and Medium Vehicles","Major Central Sector Schemes","","2023-2024","Budget"
240,"Other Equipments","Major Central Sector Schemes","","2023-2024","Budget"
241,"Joint Staff","Major Central Sector Schemes","","2023-2024","Budget"
242,"Construction Works","Major Central Sector Schemes","","2023-2024","Budget"
243,"Naval Fleet","Major Central Sector Schemes","","2023-2024","Budget"
244,"Naval Dockyard/ Projects","Major Central Sector Schemes","","2023-2024","Budget"
245,"Special Projects","Major Central Sector Schemes","","2023-2024","Budget"
246,"Schemes of North East Council","Major Central Sector Schemes",800.0,"2023-2024","Budget"
247,"Prime Minister's Development Initiative for North East Region (PM-DevINE)","Major Central Sector Schemes",2200.0,"2023-2024","Budget"
248,"North East Special Infrastructure Development Scheme (NESIDS)","Major Central Sector Schemes",2491.0,"2023-2024","Budget"
249,"Deep Ocean Mission (DOM)","Major Central Sector Schemes",600.0,"2023-2024","Budget"
250,"PM Uchchatar Shiksha Protsahan (PM-USP) Yojna","Major Central Sector Schemes",1554.0,"2023-2024","Budget"
251,"National Apprenticeship Training Scheme (NATS)","Major Central Sector Schemes",440.0,"2023-2024","Budget"
252,"World Class Institutions","Major Central Sector Schemes",1500.0,"2023-2024","Budget"
253,"Capacity Building and Skill Development Scheme","Major Central Sector Schemes",538.0,"2023-2024","Budget"
254,"Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India","Major Central Sector Schemes",3000.0,"2023-2024","Budget"
255,"Production Linked Incentive Scheme (PLI), (MEITY)","Major Central Sector Schemes",4645.0,"2023-2024","Budget"
256,"Cyber Security Projects","Major Central Sector Schemes",400.0,"2023-2024","Budget"
257,"Electronic Governance","Major Central Sector Schemes",556.0,"2023-2024","Budget"
258,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)","Major Central Sector Schemes",700.0,"2023-2024","Budget"
259,"R and D in IT/Electronics/CCBT","Major Central Sector Schemes",600.0,"2023-2024","Budget"
260,"Control of Pollution","Major Central Sector Schemes",756.0,"2023-2024","Budget"
261,"Scheme for Bhutan","Major Central Sector Schemes",2401.0,"2023-2024","Budget"
262,"Scheme for Nepal","Major Central Sector Schemes",550.0,"2023-2024","Budget"
263,"Maldives","Major Central Sector Schemes",400.0,"2023-2024","Budget"
264,"Support to International Training/Programmes","Major Central Sector Schemes",435.0,"2023-2024","Budget"
265,"National Investment and Infrastructure Fund (NIIF)","Major Central Sector Schemes",2000.0,"2023-2024","Budget"
266,"Lines of Credit under Indian Development and Economic Assistance Scheme (IDEAS)","Major Central Sector Schemes",1300.0,"2023-2024","Budget"
267,"Government Co-contribution to Atal Pension Yojana","Major Central Sector Schemes",521.0,"2023-2024","Budget"
268,"Incentive scheme for promotion of RuPay Debit Cards and low-value BHIM-UPI transactions (person-to- merchant)","Major Central Sector Schemes","","2023-2024","Budget"
269,"Remission of Duties and Taxes on Exported Products (RODTEP)","Major Central Sector Schemes",15069.0,"2023-2024","Budget"
270,"Rebate on State and Central Taxes and Levies (ROSCTL)","Major Central Sector Schemes",8405.0,"2023-2024","Budget"
271,"Livestock Health and Disease Control Programme","Major Central Sector Schemes",2350.0,"2023-2024","Budget"
272,"Rashtriya Gokul Mission","Major Central Sector Schemes","","2023-2024","Budget"
273,"Production-Linked Incentive Scheme for Food Processing Industry","Major Central Sector Schemes",1530.0,"2023-2024","Budget"
274,"Pradhan Mantri Kisan Sampada Yojana","Major Central Sector Schemes",923.0,"2023-2024","Budget"
275,"National AIDS and STD Control Programme","Major Central Sector Schemes",3080.0,"2023-2024","Budget"
276,"Family Welfare Schemes","Major Central Sector Schemes",517.0,"2023-2024","Budget"
277,"Pardhan Mantri Swasthya Suraksha Yojana","Major Central Sector Schemes",3365.0,"2023-2024","Budget"
278,"Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components","Major Central Sector Schemes",604.0,"2023-2024","Budget"
279,"Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).","Major Central Sector Schemes",5172.0,"2023-2024","Budget"
280,"Relief and Rehabilitation for migrants and repatriates","Major Central Sector Schemes",302.0,"2023-2024","Budget"
281,"Freedom Fighters (pension and other benefits)","Major Central Sector Schemes",653.0,"2023-2024","Budget"
282,"Border Infrastructure and Management","Major Central Sector Schemes",3545.0,"2023-2024","Budget"
283,"Police Infrastructure","Major Central Sector Schemes",3637.0,"2023-2024","Budget"
284,"Schemes for Safety of Women","Major Central Sector Schemes",321.0,"2023-2024","Budget"
285,"Metro Projects","Major Central Sector Schemes",19518.0,"2023-2024","Budget"
286,"National Capital Region Transport Corporation","Major Central Sector Schemes",3596.0,"2023-2024","Budget"
287,"National Hydrology Project","Major Central Sector Schemes",500.0,"2023-2024","Budget"
288,"Atal Bhujal Yojna","Major Central Sector Schemes",1000.0,"2023-2024","Budget"
289,"National Ganga Plan","Major Central Sector Schemes",4000.0,"2023-2024","Budget"
